game_number,winner_name,winner_ai_type,game_length,player_name,player_ai_type,average_score_per_turn,average_move_cost
1,Player3,Combo,46,Player1,Balanced,0.27,7.45
1,Player3,Combo,46,Player2,Power,0.60,8.20
1,Player3,Combo,46,Player3,Combo,0.83,6.50
1,Player3,Combo,46,Player4,Greedy,0.73,6.91
2,Player4,Greedy,45,Player1,Balanced,0.64,7.45
2,Player4,Greedy,45,Player2,Power,0.64,7.27
2,Player4,Greedy,45,Player3,Combo,0.70,8.00
2,Player4,Greedy,45,Player4,Greedy,0.91,7.45
3,Player1,Balanced,47,Player1,Balanced,0.77,6.46
3,Player1,Balanced,47,Player2,Power,0.50,8.40
3,Player1,Balanced,47,Player3,Combo,0.60,8.40
3,Player1,Balanced,47,Player4,Greedy,0.50,7.33
4,Player3,Combo,38,Player1,Balanced,0.86,9.71
4,Player3,Combo,38,Player2,Power,0.89,7.56
4,Player3,Combo,38,Player3,Combo,0.91,6.18
4,Player3,Combo,38,Player4,Greedy,0.67,7.56
5,Player4,Greedy,37,Player1,Balanced,0.80,7.20
5,Player4,Greedy,37,Player2,Power,1.00,10.57
5,Player4,Greedy,37,Player3,Combo,0.89,7.56
5,Player4,Greedy,37,Player4,Greedy,1.11,8.89
6,Player3,Combo,49,Player1,Balanced,0.64,8.00
6,Player3,Combo,49,Player2,Power,0.58,8.00
6,Player3,Combo,49,Player3,Combo,0.71,6.86
6,Player3,Combo,49,Player4,Greedy,0.80,8.60
7,Player2,Power,43,Player1,Balanced,0.50,8.20
7,Player2,Power,43,Player2,Power,1.11,9.11
7,Player2,Power,43,Player3,Combo,0.60,7.80
7,Player2,Power,43,Player4,Greedy,0.58,6.67
8,Player3,Combo,45,Player1,Balanced,0.42,6.67
8,Player3,Combo,45,Player2,Power,0.75,11.00
8,Player3,Combo,45,Player3,Combo,0.91,7.82
8,Player3,Combo,45,Player4,Greedy,0.33,6.67
9,Player2,Power,35,Player1,Balanced,1.00,7.56
9,Player2,Power,35,Player2,Power,1.25,8.75
9,Player2,Power,35,Player3,Combo,0.78,7.56
9,Player2,Power,35,Player4,Greedy,0.29,9.14
10,Player1,Balanced,47,Player1,Balanced,0.91,8.36
10,Player1,Balanced,47,Player2,Power,0.55,7.64
10,Player1,Balanced,47,Player3,Combo,0.73,7.82
10,Player1,Balanced,47,Player4,Greedy,0.58,7.00
11,Player4,Greedy,58,Player1,Balanced,0.57,7.86
11,Player4,Greedy,58,Player2,Power,0.50,8.00
11,Player4,Greedy,58,Player3,Combo,0.64,9.45
11,Player4,Greedy,58,Player4,Greedy,0.59,6.82
12,Player4,Greedy,56,Player1,Balanced,0.47,7.20
12,Player4,Greedy,56,Player2,Power,0.53,7.20
12,Player4,Greedy,56,Player3,Combo,0.55,10.18
12,Player4,Greedy,56,Player4,Greedy,0.77,8.77
13,Player2,Power,50,Player1,Balanced,0.55,8.73
13,Player2,Power,50,Player2,Power,0.83,8.17
13,Player2,Power,50,Player3,Combo,0.67,7.67
13,Player2,Power,50,Player4,Greedy,0.46,7.08
14,Player2,Power,40,Player1,Balanced,0.56,8.22
14,Player2,Power,40,Player2,Power,0.83,6.67
14,Player2,Power,40,Player3,Combo,0.50,9.00
14,Player2,Power,40,Player4,Greedy,0.78,8.22
15,Player4,Greedy,52,Player1,Balanced,0.43,7.86
15,Player4,Greedy,52,Player2,Power,0.50,8.33
15,Player4,Greedy,52,Player3,Combo,0.60,9.60
15,Player4,Greedy,52,Player4,Greedy,0.71,7.71
16,Player1,Balanced,47,Player1,Balanced,0.91,8.73
16,Player1,Balanced,47,Player2,Power,0.42,7.17
16,Player1,Balanced,47,Player3,Combo,0.55,8.00
16,Player1,Balanced,47,Player4,Greedy,0.55,8.36
17,Player2,Power,39,Player1,Balanced,0.78,8.00
17,Player2,Power,39,Player2,Power,0.91,7.27
17,Player2,Power,39,Player3,Combo,0.56,8.00
17,Player2,Power,39,Player4,Greedy,0.75,9.50
18,Player1,Balanced,48,Player1,Balanced,0.83,7.67
18,Player1,Balanced,48,Player2,Power,0.70,9.00
18,Player1,Balanced,48,Player3,Combo,0.38,6.77
18,Player1,Balanced,48,Player4,Greedy,0.64,7.82
19,Player2,Power,52,Player1,Balanced,0.62,7.85
19,Player2,Power,52,Player2,Power,0.83,8.83
19,Player2,Power,52,Player3,Combo,0.54,7.54
19,Player2,Power,52,Player4,Greedy,0.67,8.17
20,Player1,Balanced,41,Player1,Balanced,0.83,6.50
20,Player1,Balanced,41,Player2,Power,0.50,9.25
20,Player1,Balanced,41,Player3,Combo,0.56,7.56
20,Player1,Balanced,41,Player4,Greedy,0.40,6.80
